EDINum|Client              |Exp |LivreeA             |CommandeClient        |ClientNom                     |ShipToName                    |DateCom |DateLiv |Line|Produit             |Qtee  |Prix     |
9000144||9|8400400|673019144||Chavigny|2024-11-25|2024-11-25|1|10650|1|6.00|
9000144||9|8400400|673019144||Chavigny|2024-11-25|2024-11-25|2|03650|3|7.00|
9000144||9|8400400|673019144||Chavigny|2024-11-25|2024-11-25|3|06650|4|7.00|
9000144||9|8400400|673019144||Chavigny|2024-11-25|2024-11-25|4|02600|2|6.00|
9000144||9|8400400|673019144||Chavigny|2024-11-25|2024-11-25|5|20675|6|8.00|
9000144||9|8400400|673019144||Chavigny|2024-11-25|2024-11-25|6|21675|6|8.00|
9000145||9|8400400|673019143||Chavigny|2024-11-25|2024-11-25|1|10650|8|6.00|
9000145||9|8400400|673019143||Chavigny|2024-11-25|2024-11-25|2|03650|6|7.00|
9000145||9|8400400|673019143||Chavigny|2024-11-25|2024-11-25|3|06650|7|7.00|
9000145||9|8400400|673019143||Chavigny|2024-11-25|2024-11-25|4|02600|4|6.00|
9000145||9|8400400|673019143||Chavigny|2024-11-25|2024-11-25|5|09650|1|6.00|
9000145||9|8400400|673019143||Chavigny|2024-11-25|2024-11-25|6|20675|2|8.00|
9000145||9|8400400|673019143||Chavigny|2024-11-25|2024-11-25|7|21675|7|8.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|1|01650|1|6.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|2|10650|3|6.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|3|03650|2|7.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|4|04650|3|7.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|5|05650|1|6.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|6|06650|3|7.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|7|02600|1|6.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|8|09650|2|6.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|9|20675|5|8.00|
9000146||9|8400400|673019142||Chavigny|2024-11-25|2024-11-25|10|21675|7|8.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|1|01650|1|6.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|2|10650|7|6.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|3|03650|7|7.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|4|04650|2|7.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|5|05650|1|6.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|6|06650|4|7.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|7|02600|19|6.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|8|09650|4|6.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|9|20675|12|8.00|
9000147||9|8400400|673019141||Chavigny|2024-11-25|2024-11-25|10|21675|8|8.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|1|01650|1|6.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|2|10650|8|6.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|3|03650|7|7.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|4|04650|3|7.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|5|05650|1|6.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|6|06650|4|7.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|7|02600|19|6.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|8|09650|4|6.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|9|20675|12|8.00|
9000148||9|8400400|673019140||Chavigny|2024-11-25|2024-11-25|10|21675|8|8.00|
9000149||9|8400400|673019139||Chavigny|2024-11-25|2024-11-25|1|10650|1|6.00|
9000149||9|8400400|673019139||Chavigny|2024-11-25|2024-11-25|2|09650|1|6.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|1|01650|1|6.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|2|10650|3|6.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|3|03650|1|7.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|4|04650|4|7.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|5|05650|2|6.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|6|06650|1|7.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|7|02600|4|6.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|8|09650|1|6.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|9|20675|7|8.00|
9000150||9|8400400|673019138||Chavigny|2024-11-25|2024-11-25|10|21675|7|8.00|
9000151||9|8400400|673019137||Chavigny|2024-11-25|2024-11-25|1|01650|1|6.00|
9000151||9|8400400|673019137||Chavigny|2024-11-25|2024-11-25|2|10650|5|6.00|
9000151||9|8400400|673019137||Chavigny|2024-11-25|2024-11-25|3|03650|2|7.00|
9000151||9|8400400|673019137||Chavigny|2024-11-25|2024-11-25|4|04650|1|7.00|
